"","Accuracy","MacroF1","PondF1","MCC","Kappa","Prec.1","Prec0","Prec1","Recall.1","Recall0","Recall1","F1.1","F10","F11","Method"
"1",0.769285208775655,0.753633977676596,0.773725968311808,0.639829587836831,0.635554191216204,0.796747967479675,0.612727272727273,0.897893030794165,0.664406779661017,0.759009009009009,0.821958456973294,0.724584103512015,0.678068410462777,0.858249419054996,"A"
"2",0.746638358103326,0.732082969989188,0.752772927649578,0.606052823327017,0.5999060377842,0.773662551440329,0.580246913580247,0.892205638474295,0.650519031141868,0.751141552511416,0.784256559766764,0.706766917293233,0.654726368159204,0.834755624515128,"A"
"3",0.765038924274593,0.751397942363935,0.769594811677903,0.629820074586759,0.62615085585503,0.757201646090535,0.625,0.89672131147541,0.696969696969697,0.751072961373391,0.800878477306003,0.725838264299803,0.682261208576998,0.846094354215004,"A"
"4",0.776362349610757,0.766315837999972,0.780218171793393,0.651135725141892,0.647728778899135,0.831372549019608,0.628252788104089,0.882258064516129,0.6996699669967,0.761261261261261,0.821321321321321,0.759856630824373,0.688391038696538,0.850699844479004,"A"
"5",0.758669497523001,0.732064621344152,0.761631646614575,0.619749897566197,0.617057345271721,0.698744769874477,0.626334519572954,0.90359477124183,0.607272727272727,0.737945492662474,0.83661119515885,0.649805447470817,0.677574590952839,0.868813825608798,"A"
"6",0.755130927105449,0.74407644279067,0.759790105402944,0.625172355569882,0.618878567619903,0.799212598425197,0.603389830508475,0.892794376098418,0.640378548895899,0.775599128540305,0.797488226059655,0.711033274956217,0.678741658722593,0.842454394693201,"A"
"7",0.777777777777778,0.761235980635667,0.781066101526597,0.649020766691702,0.646446552056622,0.776859504132231,0.641544117647059,0.896331738437002,0.683636363636364,0.75377969762419,0.832592592592593,0.727272727272727,0.693147964250248,0.863287250384025,"A"
"8",0.78343949044586,0.773442599780262,0.786838848149401,0.662941721518455,0.659620998138999,0.830708661417323,0.643636363636364,0.889983579638752,0.698675496688742,0.77292576419214,0.830015313935682,0.758992805755396,0.702380952380952,0.858954041204438,"A"
"9",0.777070063694268,0.76244876756856,0.780786305159672,0.65197404379532,0.648880958184731,0.78125,0.636363636363636,0.902800658978583,0.684931506849315,0.759219088937093,0.83030303030303,0.72992700729927,0.692383778437191,0.865035516969219,"A"
"10",0.768577494692144,0.748328490594892,0.772320989410047,0.636098311343359,0.632439299516178,0.764705882352941,0.621376811594203,0.900481540930979,0.645390070921986,0.755506607929515,0.828655834564254,0.7,0.681908548707753,0.863076923076923,"A"
"11",0.764331210191083,0.747246599629977,0.768439189776063,0.634445135576572,0.629909783779958,0.784,0.609318996415771,0.899173553719008,0.640522875816993,0.758928571428571,0.825493171471927,0.705035971223022,0.675944333996024,0.860759493670886,"A"
"12",0.764331210191083,0.743599259849369,0.77012941299094,0.629459630301398,0.625043330525648,0.714285714285714,0.613138686131387,0.920065252854812,0.681818181818182,0.748329621380846,0.805714285714286,0.697674418604651,0.674022066198596,0.859101294744859,"A"
"13",0.768577494692144,0.751813225706608,0.77268960310636,0.637220471910385,0.63271394435992,0.772532188841202,0.626086956521739,0.902479338842975,0.654545454545455,0.770877944325482,0.81371087928465,0.708661417322835,0.690978886756238,0.855799373040752,"A"
"14",0.770700636942675,0.757633683367975,0.776032506525834,0.642589773535375,0.63697752459734,0.827004219409283,0.604651162790698,0.899513776337115,0.671232876712329,0.771689497716895,0.812591508052709,0.741020793950851,0.678034102306921,0.853846153846154,"A"
"15",0.767869780608634,0.749048862027226,0.771867223468315,0.632728280166345,0.629515110722434,0.796680497925311,0.606525911708253,0.886328725038402,0.664359861591695,0.736596736596737,0.830215827338129,0.724528301886792,0.665263157894737,0.857355126300149,"A"
"16",0.760792639773532,0.741218734518806,0.76588722939866,0.622660771904093,0.618843539532311,0.781893004115226,0.589015151515151,0.894080996884735,0.659722222222222,0.728337236533958,0.822349570200573,0.715630885122411,0.65130890052356,0.856716417910448,"A"
"17",0.75725406935598,0.740127567679241,0.761809020414917,0.621857438908731,0.617716516800757,0.788844621513944,0.592250922509225,0.888709677419355,0.644951140065147,0.736238532110092,0.822388059701493,0.709677419354839,0.656441717791411,0.854263565891473,"A"
"18",0.777070063694268,0.762676206049321,0.781163282350941,0.649150545619164,0.645240583147822,0.839662447257384,0.616541353383459,0.886645962732919,0.67687074829932,0.759259259259259,0.831149927219796,0.749529190207156,0.680497925311203,0.858001502629602,"A"
"19",0.773531493276716,0.75797973713719,0.778472286201192,0.647103354137824,0.642192426026513,0.813008130081301,0.608058608058608,0.903381642512077,0.668896321070234,0.766743648960739,0.823788546255507,0.73394495412844,0.678243105209397,0.861751152073733,"A"
"20",0.760084925690021,0.746015695297924,0.763747611257061,0.624046164196815,0.62097279589802,0.780487804878049,0.617328519855596,0.880913539967374,0.664359861591695,0.73866090712743,0.816944024205749,0.717757009345794,0.672566371681416,0.847723704866562,"A"
"21",0.768577494692144,0.752848859089268,0.772927815006105,0.642220449054126,0.636281125231432,0.814814814814815,0.608540925266904,0.898026315789474,0.640776699029126,0.782608695652174,0.818590704647676,0.717391304347826,0.684684684684685,0.856470588235294,"A"
"22",0.769992922859165,0.763794365841273,0.775475364576534,0.644112867014946,0.637863733144074,0.868312757201646,0.606060606060606,0.881773399014778,0.694078947368421,0.785219399538106,0.794378698224852,0.771480804387569,0.6841046277666,0.83579766536965,"A"
"23",0.769285208775655,0.750860126053642,0.774191178447181,0.641481642143115,0.636084254634684,0.810699588477366,0.596715328467153,0.905144694533762,0.641693811074919,0.762237762237762,0.831610044313146,0.716363636363636,0.669396110542477,0.866820631254811,"A"
"24",0.78414720452937,0.767374841794801,0.789502916097904,0.662320780505881,0.656012291974299,0.817021276595745,0.616788321167883,0.917460317460317,0.678445229681979,0.799054373522459,0.817538896746818,0.741312741312741,0.696189495365602,0.864622288706058,"A"
"25",0.764331210191083,0.743997522581472,0.76804407337192,0.625233363065884,0.62220980395463,0.799126637554585,0.600760456273764,0.882978723404255,0.648936170212766,0.723112128146453,0.837175792507205,0.716242661448141,0.656282450674974,0.859467455621302,"A"
