"","Accuracy","MacroF1","PondF1","MCC","Kappa","Prec-1","Prec0","Prec1","Recall-1","Recall0","Recall1","F1-1","F10","F11"
"ConjTest",0.809421841541756,0.796132151490733,0.810491067448657,0.700482769940755,0.699838230550353,0.763975155279503,0.697038724373576,0.909375,0.848275862068966,0.700228832951945,0.863501483679525,0.803921568627451,0.698630136986301,0.885844748858448
"Medias",0.809169878658101,0.795730156550048,0.810223294901877,0.700102296171654,0.699315369340705,0.764164708784366,0.696702558883771,0.908931202802378,0.848489483353036,0.699426916449867,0.863384965049988,0.803868373550142,0.697824553622888,0.885497542477115
"LimInf",0.792291220556745,0.778390867243176,0.793417221735495,0.674443029127132,0.673214352514188,0.727002025340304,0.659701061608848,0.890255108106731,0.812927158273381,0.664220465524813,0.84162599968431,0.776826551518038,0.668989143760485,0.869968346082828
"LimSup",0.826552462526767,0.814269814614216,0.826852050660399,0.727290156795292,0.726069439714386,0.801914033377301,0.732144785560012,0.927689934154191,0.880798288187056,0.734663654618474,0.883892918186317,0.831306421746537,0.727272727272727,0.899927425515661
