"","Accuracy","MacroF1","PondF1","MCC","Kappa","Prec-1","Prec0","Prec1","Recall-1","Recall0","Recall1","F1-1","F10","F11"
"ConjTest",0.822983583154889,0.809614755070699,0.824180556804051,0.720452672263229,0.720145079172537,0.792079207920792,0.713333333333333,0.91358024691358,0.827586206896552,0.734553775743707,0.878338278931751,0.809443507588533,0.723788049605411,0.895612708018154
"Medias",0.823089935760171,0.809539540563403,0.82431075475148,0.720678151012111,0.720216024042105,0.79153579307031,0.713491257223302,0.914088295144304,0.828017949829916,0.734854920724125,0.878221133975851,0.809098118559677,0.723792685111804,0.895727818018729
"LimInf",0.806531049250535,0.791314494011045,0.807764034685955,0.694694082765699,0.693690300185585,0.75159494969774,0.679714599916213,0.895991666666667,0.790199300699301,0.699988179669031,0.856550224887556,0.780207002300025,0.695342717258262,0.880358559139597
"LimSup",0.8401142041399,0.827064339753371,0.841013776928505,0.746188632483098,0.745482090788397,0.829951619637025,0.747598421625544,0.931421693571226,0.861615559002506,0.770374579124579,0.899119077509438,0.837319753278391,0.750013283740702,0.909879057139331
