"","Accuracy","MacroF1","PondF1","MCC","Kappa","Prec-1","Prec0","Prec1","Recall-1","Recall0","Recall1","F1-1","F10","F11"
"ConjTest",0.769285208775655,0.753633977676596,0.773725968311808,0.639829587836831,0.635554191216204,0.796747967479675,0.612727272727273,0.897893030794165,0.664406779661017,0.759009009009009,0.821958456973294,0.724584103512015,0.678068410462777,0.858249419054996
"Medias",0.769539985845718,0.753667758812126,0.773977640393756,0.640311083142103,0.63584294437358,0.797234975915909,0.612852426460396,0.898235717411248,0.664295726781676,0.759796887563123,0.822111036861107,0.724370108038364,0.678240529772725,0.858392638625288
"LimInf",0.751592356687898,0.733420351960921,0.756300998484317,0.612801989388446,0.607972892676077,0.755347570539669,0.580864199479208,0.878676144968263,0.619339477726574,0.725870253164557,0.79797461584394,0.689104117115622,0.651162790697674,0.842009356295071
"LimSup",0.786978060863411,0.772479100522987,0.790855208054972,0.66724256428415,0.662515028334205,0.83899468261881,0.647715467114614,0.917810383258673,0.707126424386211,0.79310736677116,0.845689231833026,0.759941749676564,0.704837117472853,0.87405557736362
