"","Accuracy","MacroF1","PondF1","MCC","Kappa","Prec-1","Prec0","Prec1","Recall-1","Recall0","Recall1","F1-1","F10","F11"
"ConjTest",0.822269807280514,0.80820897907264,0.823020277787629,0.718999840976961,0.718794436007313,0.787581699346405,0.716553287981859,0.909785932721712,0.831034482758621,0.723112128146453,0.882789317507418,0.808724832214765,0.719817767653759,0.896084337349398
"Medias",0.821900785153462,0.807620864050251,0.822676475731299,0.718351898641986,0.717997939505574,0.786869218209274,0.715987924260981,0.909717210719898,0.830736957392325,0.7228426305815,0.882319886831998,0.807946437902852,0.719175110454855,0.895741043793046
"LimInf",0.805852962169879,0.789823761393115,0.806429413979271,0.693202411694353,0.692669101532691,0.748386042589079,0.680269365564342,0.891349085762454,0.793908287658288,0.687214070851999,0.862880975154036,0.779111966140823,0.689737203801568,0.881076049673969
"LimSup",0.839400428265525,0.825974688355299,0.839892246683224,0.746123496739003,0.745942808528634,0.824304206053819,0.752811559920808,0.928249506551568,0.86579308063144,0.758408395148946,0.902495728118473,0.835719616204691,0.747832203476222,0.909922368188933
