"","PriceCl","ClxBB","pnADX","ClxSAR","MACD","CCI","RSI","STO","OBV","AD","ClxVWAP5","ClxVWAP20","RotGer"
"1",10542,0.0400702228190788,20.5109200317816,-0.0476445834880541,-0.477113265536224,18.9248755643013,50.3450138742409,0.0403968662954093,-46.7462792922216,49.8236427654735,0.000154389741478712,0.000434039679276577,"1"
"2",10939,0.298035279133285,20.8119718391137,-0.0112979031091829,-0.605057519690583,76.3932644759926,55.4600267327366,0.335465016634927,-38.9393973324488,53.952514316523,0.00355169460688477,0.00390011535278625,"0"
"3",10707,0.10356666881417,21.0915199459221,-0.0322668112798265,-0.782434163553891,56.3040761001901,52.1629233526396,-0.0379977329717268,-46.5175006134535,49.1592357437271,0.000976516824977908,0.00117715682704462,"0"
"4",10413,-0.168526365504858,20.2292767095801,-0.0545840823663998,-1.29719658247584,-19.0509629593444,48.3390847122034,-0.29645697758496,-54.1609860331275,42.2249175145579,-0.00172331086722403,-0.00196727784165259,"0"
"5",9860,-0.677253104991584,-19.9858477431891,-0.100970987804936,-2.06937921979038,-137.410001288984,42.2257016443258,-0.225587738210621,-61.9971576712227,34.8718385703047,-0.00663084311934937,-0.00776793249440522,"0"
"6",9828,-0.604320567822157,-20.4376166936885,-0.0964583949208915,-2.67500423479529,-203.15461302709,41.9037061692129,0.0428605558621659,-69.857517045455,37.615408738695,-0.00545516302884328,-0.00791146927791084,"-1"
"7",9690,-0.592779318735115,-20.857116433438,-0.0982084722499907,-3.10332106751471,-202.415195424522,40.5050826600581,-0.00631742058525533,-77.5708275516307,36.8430285071296,-0.00436278475213445,-0.00909733415659818,"-1"
"8",9319,-0.675461962908496,-22.118289408581,-0.123045541073656,-3.50479343379924,-223.178616230821,37.0173892839026,-0.0413811521962766,-85.416539989466,33.0301896502753,-0.00562108887731626,-0.0127582488584809,"-1"
"9",9182,-0.599499256434488,-23.57178722167,-0.12172998359594,-3.68568827135089,-212.705070347756,35.8214533040187,0.000745062963893831,-93.2126785053239,33.4701750205447,-0.00453735399427946,-0.0136864116974318,"-1"
"10",8802,-0.621548522494085,-25.4835936024785,-0.141714893178748,-3.83397520491399,-199.656401004506,32.7407939345264,-0.00609474086181035,-101.047260276698,30.1004034988376,-0.00668037248282721,-0.017246291780251,"-1"
"11",8417,-0.63318241856537,-27.5868696262457,-0.15827980979641,-4.0794014551081,-182.481892298541,29.9964602298805,-0.0404540275089553,-108.889900937438,22.6733876486694,-0.00819160729513543,-0.0208368823296814,"-1"
"12",8711,-0.45133394369235,-29.5840325834942,-0.103050203573529,-3.88198907163393,-151.502088459369,34.4049960658638,0.0636017605302726,-101.20826381168,27.6792588820108,-0.00212090584053559,-0.015928912643538,"-1"
"13",8744,-0.392565947198495,-30.6160546141458,-0.0739488141230341,-3.79638726530346,-118.176701501029,34.8882657429103,0.0488605271938606,-93.7526334968681,25.7081718105688,-0.000299219203152789,-0.0142940415949014,"-1"
"14",8610,-0.386008380440052,-31.7568543463544,-0.066827922553378,-4.09345039690409,-116.107503712547,33.8257239019288,-0.0290123456790123,-101.767451156877,25.1699834840986,-0.000567342056460352,-0.0146227699034204,"-1"
