"","PriceCl","ClxBB","pnADX","ClxSAR","MACD","CCI","RSI","STO","OBV","AD","ClxVWAP5","ClxVWAP20","PriceCl.Ns","PriceCl.Nl","PriceCl.Gs","PriceCl.Gl","PriceCl.Rs","PriceCl.Rl","ClxBB.Ns","ClxBB.Nl","ClxBB.Gs","ClxBB.Gl","ClxBB.Rs","ClxBB.Rl","pnADX.Ns","pnADX.Nl","pnADX.Gs","pnADX.Gl","pnADX.Rs","pnADX.Rl","ClxSAR.Ns","ClxSAR.Nl","ClxSAR.Gs","ClxSAR.Gl","ClxSAR.Rs","ClxSAR.Rl","MACD.Ns","MACD.Nl","MACD.Gs","MACD.Gl","MACD.Rs","MACD.Rl","CCI.Ns","CCI.Nl","CCI.Gs","CCI.Gl","CCI.Rs","CCI.Rl","RSI.Ns","RSI.Nl","RSI.Gs","RSI.Gl","RSI.Rs","RSI.Rl","STO.Ns","STO.Nl","STO.Gs","STO.Gl","STO.Rs","STO.Rl","OBV.Ns","OBV.Nl","OBV.Gs","OBV.Gl","OBV.Rs","OBV.Rl","AD.Ns","AD.Nl","AD.Gs","AD.Gl","AD.Rs","AD.Rl","ClxVWAP5.Ns","ClxVWAP5.Nl","ClxVWAP5.Gs","ClxVWAP5.Gl","ClxVWAP5.Rs","ClxVWAP5.Rl","ClxVWAP20.Ns","ClxVWAP20.Nl","ClxVWAP20.Gs","ClxVWAP20.Gl","ClxVWAP20.Rs","ClxVWAP20.Rl","class"
"4201",45313,-0.204833253439801,-25.1080782495814,-0.047332553290638,-1.18540799805665,-74.4282802464615,42.4916750025858,0.0849766092260323,666.715348819755,1080.89532982212,0.00135589656444521,-0.00198308512559566,-0.00201082276348286,-0.0431255519454877,-0.00708098521478029,-0.00236078410222784,0.410039310553372,0.196294151708164,-0.323101593893929,-0.171092160604254,0.300916031056023,-0.031835466210806,0.535493031480621,0.422764397877538,0.224506083133464,-0.20434287620804,0.372986328872728,0.000454962701801565,0.0308395443916514,0.306712976426835,-0.124767490165767,7.35969238462737,0.294349564679535,0.00181272158125467,0.361354107102138,0.23063607346746,-9.24344035535988,-18.0092308743642,-0.651292850136529,-0.206654319370626,0,0,-0.185195716315184,-0.0695696527586389,0.41389320935566,-0.0276197725441771,0.440037319050603,0.392042828378573,0.0418888351488267,0.0782487307123692,-0.021820656835475,0.00194194618542465,0.6284343791882,0.639683532575615,-2.43770761959165,30.7432205241398,-0.200472696351948,14.4182981460035,0.908485722489629,0.663970144940673,0.00318057877948874,-0.0471522652531544,-0.0040231182281032,-0.00230154478524591,0.502534423435002,0.214420438409205,-0.00133703212516623,-0.00577483438587545,-0.0011797144748158,-0.000415440855777383,0.431857756736698,0.254803584738537,-2.01404232604334,-3.69915020217417,0.032803633078706,-0.108793499026285,1,0.646789769848389,-0.183122689106938,-0.154176158925525,0.310621844490795,-0.00923110072091304,0.503642689725111,0.513104373947348,"0"
"4202",47033,0.157212824168507,23.575160554897,-0.00481489063812721,-1.29955282309382,2.35482965812232,49.8721601370095,0.218748149464085,673.466080736195,1087.64606173856,0.00393046619738681,0.00151886498453769,0.0363983323490786,-0.00563935446579622,-0.000508762385941552,-0.00117157094825038,1,0.445280833815866,-1.51984726828688,-1.6890145350564,-0.000609465932991604,-0.0766520917363992,1,0.662602822552204,-2.12324573267748,-1.77163689883464,0.0235931132255078,-0.0318243534606085,1,0.900571971599425,-0.917680948221224,0.0829230848233311,0.0815574082568542,-0.214729686034354,0.804296261419268,0.430707959041106,8.5282468774696,-27.1742794687416,-1.94846559697855,-0.287580128380871,0,0,-1.02367808761883,-1.03120662398014,0.0887500625757816,-0.0566809786684691,0.943753912924991,0.566617932969899,0.212850032202732,0.255815789510775,0.00825087693522741,0.00773732560590101,1,0.931721315880168,-21.236919443266,25.3292919164959,-0.817117916186512,2.10353606579149,1,0.91833030339942,0.0153626452677418,-0.0356532378306921,-0.00199387234606685,-0.0019195403521024,0.802245603528518,0.286057870518374,0.00509169607820148,0.000626297221076655,-0.000190607995682379,-0.000191578226909406,0.916264998645428,0.45544468076549,-5.68332931373181,-11.5526080346485,-0.372348037161891,-0.2585450804024,1,0.976407789651933,-1.63372849443876,-1.68434997412909,-0.0127402947387704,-0.053371707761682,1,0.799597498500088,"0"
"4203",47598,0.259456997310474,22.9185055495994,0.0875317019672356,-1.21301545407062,83.2163925771754,51.9970265467117,0.168768875466335,680.146766327535,1088.28693885076,0.00356893640138853,0.00252276710683518,0.0465238995646629,0.00700745851526174,0.00222118410266803,-0.000696832583012119,1,0.527070063694268,-1.94508196794485,-2.24159257455432,-0.0922135259850247,-0.084145053608121,1,0.732399316354731,-2.4310238844213,-1.77667479202724,-0.236938519288775,-0.0341594984326639,0.986853007814299,0.892561812637175,-2.70020300246755,-71.0864244197056,-0.119805752169431,-0.719105876786084,1,0.865255762382436,2.16470711582151,-36.9709534965409,1.81029476600265,-0.320803902239059,0.0405288480780365,0.0272518540514864,-1.89902827964168,-2.20852593356906,-0.0692722589605835,-0.0874846010779794,1,0.732807308179975,0.240748837279202,0.296786532247801,0.0191627850840412,0.00966610596951756,1,1,5.16020080817492,14.3915674431426,-3.53453038692421,0.319788375529655,0.873344744245371,0.823297114493186,0.0254293510113923,-0.024585956578704,5.40656674297146e-06,-0.00153893785750492,1,0.356951984877564,0.00541373780841603,0.00140054022056257,0.000268736743010534,-0.000184382581795539,0.959923093153056,0.474492435557414,-14.1923441651604,-15.1980800091228,-0.677650153858321,-0.325122528241389,0.947346813821242,0.930121709861278,-2.1882083272877,-2.22434564840795,-0.114132777700348,-0.071606261219857,1,0.881726325786889,"0"
"4204",47735,0.270539506459371,22.3164463927552,0.0906619142276144,-0.937553317909222,87.627223336465,52.5095577063669,0.0496831882513179,686.840980466999,1088.20683286624,0.00238630523160458,0.00269457068386416,0.0461548576563151,0.0103338302986278,0.00323204784310271,-0.000423553286261424,1,0.546902142443544,-2.15990472760602,-2.42060991636572,-0.150403990064946,-0.0886827930857264,1,0.733595730846057,-2.99884563284768,-1.78501291448527,-0.302881879684463,-0.0366121758928137,0.974799087617994,0.885217637214625,-3.51291899889179,42.6120668933671,-0.299219835860579,-2.66451129380547,1,0.879985346045068,0.672365224201015,-41.3982084910063,0.462621781359494,-0.311792367263793,0.197083157942262,0.113998816850512,-2.1149359886978,-2.39646358939987,-0.150910277885748,-0.0887101717258338,1,0.73784132129503,0.225173576619251,0.29581748743282,0.022694937454435,0.0106121284320448,1,1,0.153878898669774,2.89383527892735,0.571635169911356,0.163650002809103,0.571563086280256,0.596861400168024,0.0334182883311476,-0.0138443552480032,0.00203562727732609,-0.00115729766965511,1,0.427989661514112,0.00540181682005114,0.00142582107644507,-6.17513448917251e-05,-9.88504145018609e-05,0.99431515618419,0.472111574825368,10.8524327690593,-16.3346402385242,-1.74422054793038,-0.38092507731076,0.775108453794803,0.778711338452234,-2.54213602049134,-2.42687021193306,-0.177033170196491,-0.0835010089928879,1,0.895781507055732,"0"
"4205",48914,0.455563771589386,22.5425860056694,0.113199817933546,-0.504142901388493,129.07656065324,56.6882500917006,0.159446157646001,693.856471326853,1091.91387625703,0.00308534000852424,0.00473480462295146,0.0636623001583076,0.0355895242732835,0.00783273795174133,-0.000291236901747371,1,0.717573827446439,-4.23156664511731,-3.63317398490203,-0.395595501512073,-0.0915233434182214,1,0.885998446969758,-4.55068306921526,-1.82510540770803,-0.431348692974624,-0.0389498222379884,0.979326664046827,0.887976185055563,-7.84104441601022,19.9205349691012,-0.541354725162907,1.6028834829919,1,0.986040115051914,-0.241608388129068,-22.8489678514248,0.185755884512071,-0.00576542486222942,0.501397237485373,0.250485950082519,-3.30195204080029,-3.26230324621727,-0.286552537978108,-0.0907419967303958,1,0.840994531277912,0.273014229022362,0.385231013405998,0.0390083902028551,0.00989523046415441,1,1,1.08186272987856,10.1902484143499,0.778741105915424,0.116715254096431,0.807831034161145,0.805570414345857,0.0397074324433646,-0.0026228422596003,0.00410340084713567,-0.00115180083113797,1,0.5024366631735,0.00791477413799591,0.00493426642945627,0.000904844065146904,-9.65504017298446e-05,1,0.582290035198867,2.84013007947595,-34.5514970734749,2.9906037121844,-0.409066343526017,0.86800517135657,0.868207639501511,-5.87384720635076,-3.76209298832132,-0.444014770941835,-0.0922658830452222,1,1,"0"
"4206",49107,0.431440312593445,22.7525727890898,0.109486907209507,-0.132325212224311,133.490432031756,57.3335381388457,0.0989632216899756,700.602501110736,1095.46764138683,0.00196301756644278,0.00484666308918179,0.0590731950336332,0.0401768768809478,0.00829593097089565,-0.000481866491647831,1,0.745512449334105,-9.1078416599514,-3.71159483195609,-0.622532642890377,-0.0803421116498974,0.977573028111223,0.866128184706067,-16.2834348802225,-1.86824862572765,-0.765513569508776,-0.0408376876414378,0.983530842159317,0.890537693765006,44.5632294928865,12.1718741830396,-1.14521931061131,0.536178462078237,0.9822811061443,0.968568574915847,-0.812747866911773,-5.12353209326691,0.0630548909115232,0.390754549740813,0.892589048859982,0.367576653361778,-6.15189882001781,-3.55044135257824,-0.537904541871205,-0.0826433127863984,1,0.851979146005666,0.238776401780431,0.389431439549878,0.0393361352867401,0.00832556205954216,1,1,0.224467050708458,6.47756789828778,0.0552728244738148,-0.0711638077335131,0.611835201690258,0.690565016737011,0.0434329592488767,0.00823678171886222,0.00611734946270448,-0.00115311190982237,1,0.574024197181842,0.0103323387126495,0.00833756029321786,0.000853991636569962,-0.000131517805124104,1,0.687912853508239,0.67316867608577,-25.7385330632373,0.460250506395057,-0.137102690296275,0.692716841190637,0.724518497748801,-27.5870640612441,-4.09379275769822,-0.812352710169439,-0.0861227941467418,1,1,"0"
"4207",49338,0.414822642741111,23.2622993960663,0.107158132556481,0.426868879352221,128.401900085031,58.1177295417461,-0.0123775852813275,707.416097055188,1096.96336474829,0.00151007370635174,0.00499409239261748,0.0538119465340698,0.0453174279318276,0.00972008652537637,-0.000236813030393357,1,0.778951939779965,9.43510962753094,-3.86352489959727,-1.74705052399719,-0.0895301565439233,0.962123999234477,0.85244036911408,5.83904204146814,-1.9273112161483,-3.28479808428152,-0.0427161759068689,0.993736157986807,0.89675555720354,3.98574916182766,8.56967184278197,7.94431370112766,0.347142311479821,0.971167639121338,0.957610250613899,-1.64210580168182,6.81771767469532,-0.0592546626631156,0.701536584713659,1,0.543674863211579,77.2443159108777,-3.67315704772033,-1.06333384270516,-0.0822758107378609,0.984671431678578,0.839315532100488,0.204255353463614,0.395516728475227,0.0427356791711324,0.00925746611316902,1,1,-1.15686538574869,-1.94768623633756,-0.0237027104977747,-0.0131346645529022,0.251033699491572,0.478855820193804,0.045130760353935,0.0188222609935627,0.00808505227548628,-0.00076562525275059,1,0.646328729924626,0.0102232205668966,0.0097640627784068,0.00147353567292097,-4.92632871780252e-05,1,0.732367821993296,0.0104534613247083,-25.2345968192054,0.27378863336013,-0.214742479982005,0.621974450307833,0.666528821985089,6.25711257647176,-4.54609263618257,-4.77502874836043,-0.101009953599958,1,1,"0"
"4208",47363,0.0926569274835741,22.2080954096378,0.0530287145053753,0.805255206692393,57.1277023529421,49.8865294783802,-0.232007352559684,700.592589545729,1091.58089003562,-0.00217688211268344,0.00118601199492581,0.00432153217187747,0.00496466932688189,0.00727488647674202,-0.00148392785788531,0.620630042258932,0.538072669826224,-0.165451401052572,-1.65741289621788,1.79293497424682,-0.0270776379535975,0.618085231527556,0.587075553246917,1.70036696089536,-1.92527209970648,1.41786006001681,-0.0432142036228848,0.972629775700983,0.883895925522055,0.455620998068866,3.2322586711449,0.694993650983593,0.118950319862035,0.697042865893213,0.702897877946599,-2.45095869509662,8.59200811455107,-0.165184330476874,0.537480062254661,1,0.662834124512761,1.1001936719185,-2.24622428234532,15.5755809661191,-0.0456590223989043,0.747358402434595,0.661938455385583,0.00417866836873859,0.194605448050426,0.0293954550313678,0.00273276977056436,0.61716196672581,0.741095106238837,-4.58647484225991,-38.3487129910962,-0.180167455873835,-0.524385864774861,0,0.0612403669534062,0.0268450778428331,0.0101633131192431,0.0079901909835558,-0.00115652888950213,0.874265246898741,0.617404383363468,0.00389536886046615,0.00507566397818127,0.00136566544997918,-0.000264870341273982,0.763590342804669,0.678357567174124,-2.42841075807726,14.2695309765642,0.0197646864915535,1.28795177783993,0,0.194493783342537,-0.107608907992469,-1.86845464929207,0.931261764704963,-0.0303043646670527,0.603158532468715,0.71257842894507,"0"
"4209",46710,-0.0076976565838774,20.8655257085806,0.0297662105286277,1.04534862892838,12.6425929250401,47.5486193656129,-0.182734614313562,693.620263778204,1084.73366017489,-0.00304505764282301,-4.06556692778407e-05,-0.0149102642512179,-0.00744701603001752,0.00546658976403336,-0.00145473001560392,0.385837812573031,0.434913112164297,-1.04819371329547,-0.943710298469064,0.438606041479882,-0.0297360166175663,0.363208693425101,0.504414442950942,0.611504316850973,-1.90886816781573,0.574379148463608,-0.0434964404837291,0.945182066070907,0.867518685363053,-0.37920069883353,1.19042934949488,0.316162589504451,0.0845645457359414,0.51605688498008,0.593433416745379,-3.65758648402316,7.71945503586458,-0.291246436618963,0.428064447858141,1,0.738442973907558,-0.72117313502292,-1.28434915715359,0.666917580481391,-0.0300850332777938,0.495582254453936,0.551230247945298,-0.0634887379651834,0.135289771047722,0.0220040255321516,0.00293407178637839,0.372457869669854,0.667558275070911,-4.85826804716923,-57.5178909452535,-0.267859443440258,-0.479514342717333,0.109311451607137,0.154930112064189,0.0106307280366951,0.00127915288235037,0.00593208371997545,-0.00116753243130863,0.709143864217451,0.53815970733972,-0.00336770411127563,-0.000934965799825993,0.000969137504148732,-0.000294248283343457,0.344859440187566,0.479799273119229,-3.2699351111463,13.9908208169525,-0.119761667359267,0.424822916594879,0,0.0833426630057624,-1.02277437471266,-0.969319569755083,0.343200355290314,-0.0296738572563245,0.338979479456675,0.619993527790827,"1"
"4210",47161,0.0747780243077862,-19.4443810600716,0.0317168429287562,1.39813899995076,6.15948972969915,49.2726284010194,0.0138680033416876,700.344179669289,1091.04252588063,-0.00147684282780157,0.000990315616411507,-0.00978852420465615,0.00337173411127756,0.00443300925828294,-0.00123118218563956,0.459130434782609,0.506161137440758,-0.615327527646445,-1.57077636193647,0.217067696638623,-0.0419715164145,0.423398754310302,0.572348871839005,-2.43090458662951,-0.144446219408451,0.0495076044965999,-0.0100383507572379,0.116337723795583,0.375801180180746,-0.443957094110561,1.16698847197664,0.189622904792581,0.0770579019903421,0.492420286429342,0.60261234799436,-9.75815126864985,7.66884065617302,-0.594151298644531,0.345294970390723,1,0.84954170281962,-0.891111384252473,-1.14282333443761,0.247557926390514,-0.0300231749575225,0.38759267548909,0.535096023647844,-0.0445814245998681,0.171892878632093,0.0157507284535112,0.00389115658313099,0.433951729877809,0.721785407532648,-0.62246950482241,1.9230744964352,-0.224407724094802,0.46736846009424,0.545473887279153,0.528760546334456,0.0144620921492782,0.0117770132974051,0.00588058781635836,-0.00078230333095608,0.826246010392941,0.614968923751429,0.00125616841925957,0.00500796905445933,0.00117112007067055,-0.000131662836838298,0.631514438768319,0.759717015542758,-2.33033885044441,5.53634106911056,-0.172458221520298,0.112319286040116,0.224816780924982,0.284118689934716,-0.538623051517269,-1.78298051261616,0.202383705971823,-0.0455284120405349,0.426160970427574,0.697807900309058,"1"
